2024-11-27 10:54:05,753 INFO o.s.b.StartupInfoLogger [main] Starting NanoCubeTestDataGeneratorApplication using Java 21.0.2 on NOLI125045 with PID 16692 (C:\sandbox\nanoCubeTestDataGenerator\target\classes started by ronend in C:\sandbox\nanoCubeTestDataGenerator)
2024-11-27 10:54:05,762 INFO o.s.b.SpringApplication [main] No active profile set, falling back to 1 default profile: "default"
2024-11-27 10:54:06,851 INFO o.s.d.r.c.RepositoryConfigurationDelegate [main] Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2024-11-27 10:54:06,881 INFO o.s.d.r.c.RepositoryConfigurationDelegate [main] Finished Spring Data repository scanning in 15 ms. Found 0 JPA repository interfaces.
2024-11-27 10:54:07,727 INFO o.s.b.w.e.t.TomcatWebServer [main] Tomcat initialized with port(s): 8080 (http)
2024-11-27 10:54:07,738 INFO o.a.j.l.DirectJDKLog [main] Initializing ProtocolHandler ["http-nio-8080"]
2024-11-27 10:54:07,743 INFO o.a.j.l.DirectJDKLog [main] Starting service [Tomcat]
2024-11-27 10:54:07,743 INFO o.a.j.l.DirectJDKLog [main] Starting Servlet engine: [Apache Tomcat/9.0.83]
2024-11-27 10:54:07,922 INFO o.a.j.l.DirectJDKLog [main] Initializing Spring embedded WebApplicationContext
2024-11-27 10:54:07,923 INFO o.s.b.w.s.c.ServletWebServerApplicationContext [main] Root WebApplicationContext: initialization completed in 2060 ms
2024-11-27 10:54:07,969 INFO c.z.h.HikariDataSource [main] HikariPool-1 - Starting...
2024-11-27 10:54:08,338 INFO c.z.h.HikariDataSource [main] HikariPool-1 - Start completed.
2024-11-27 10:54:08,353 INFO o.s.b.a.h.H2ConsoleAutoConfiguration [main] H2 console available at '/h2-console'. Database available at 'jdbc:h2:./database/autogen'
2024-11-27 10:54:08,613 INFO o.h.j.i.u.LogHelper [main] HHH000204: Processing PersistenceUnitInfo [name: default]
2024-11-27 10:54:08,718 INFO o.h.Version [main] HHH000412: Hibernate ORM core version 5.6.15.Final
2024-11-27 10:54:08,989 INFO o.h.a.c.r.j.JavaReflectionManager [main] HCANN000001: Hibernate Commons Annotations {5.1.2.Final}
2024-11-27 10:54:09,168 INFO o.h.d.Dialect [main] HHH000400: Using dialect: org.hibernate.dialect.H2Dialect
2024-11-27 10:54:09,502 INFO o.h.e.t.j.p.i.JtaPlatformInitiator [main] HHH000490: Using JtaPlatform implementation: [org.hibernate.engine.transaction.jta.platform.internal.NoJtaPlatform]
2024-11-27 10:54:09,524 INFO o.s.o.j.AbstractEntityManagerFactoryBean [main] Initialized JPA EntityManagerFactory for persistence unit 'default'
2024-11-27 10:54:09,647 WARN o.s.b.a.o.j.JpaBaseConfiguration$JpaWebConfiguration [main] spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
2024-11-27 10:54:10,116 INFO o.a.j.l.DirectJDKLog [main] Starting ProtocolHandler ["http-nio-8080"]
2024-11-27 10:54:10,150 INFO o.s.b.w.e.t.TomcatWebServer [main] Tomcat started on port(s): 8080 (http) with context path ''
2024-11-27 10:54:10,165 INFO o.s.b.StartupInfoLogger [main] Started NanoCubeTestDataGeneratorApplication in 5.253 seconds (JVM running for 6.14)
2024-11-27 10:54:10,670 INFO c.c.a.t.a.GetMeterForMeteringPoint [scheduling-1] Initiating map meter to metering point.
2024-11-27 10:54:10,702 INFO c.c.a.d.GetMeteringPointFromDB [scheduling-1] Could not find meter DRO_NAER_KP2-075 in the base of previously checked meters, will try to get details by API call to nanoMetering.
2024-11-27 10:54:15,151 INFO c.c.a.d.GetMeteringPointFromDB [scheduling-1] Could not find meter DRO_NAER_KP2-076 in the base of previously checked meters, will try to get details by API call to nanoMetering.
2024-11-27 10:54:15,305 INFO c.c.a.d.GetMeteringPointFromDB [scheduling-1] Could not find meter DRO_NAER_KP2-077 in the base of previously checked meters, will try to get details by API call to nanoMetering.
2024-11-27 10:54:15,463 INFO c.c.a.d.GetMeteringPointFromDB [scheduling-1] Could not find meter DRO_NAER_KP2-078 in the base of previously checked meters, will try to get details by API call to nanoMetering.
2024-11-27 10:54:15,638 INFO c.c.a.d.GetMeteringPointFromDB [scheduling-1] Could not find meter DRO_NAER_KP2-079 in the base of previously checked meters, will try to get details by API call to nanoMetering.
2024-11-27 10:54:15,730 INFO c.c.a.d.GetMeteringPointFromDB [scheduling-1] Could not find meter DRO_NAER_KP2-080 in the base of previously checked meters, will try to get details by API call to nanoMetering.
2024-11-27 10:54:15,830 INFO c.c.a.d.GetMeteringPointFromDB [scheduling-1] Could not find meter DRO_NAER_KP2-081 in the base of previously checked meters, will try to get details by API call to nanoMetering.
2024-11-27 10:54:15,914 INFO c.c.a.d.GetMeteringPointFromDB [scheduling-1] Could not find meter DRO_NAER_KP2-082 in the base of previously checked meters, will try to get details by API call to nanoMetering.
2024-11-27 10:54:15,992 INFO c.c.a.d.GetMeteringPointFromDB [scheduling-1] Could not find meter DRO_NAER_KP2-083 in the base of previously checked meters, will try to get details by API call to nanoMetering.
2024-11-27 10:54:16,111 INFO c.c.a.d.GetMeteringPointFromDB [scheduling-1] Could not find meter DRO_NAER_KP2-084 in the base of previously checked meters, will try to get details by API call to nanoMetering.
2024-11-27 10:54:16,154 INFO c.c.a.t.a.GetMeterForMeteringPoint [scheduling-1] Map meter to metering point initiated for 10 metering points.
2024-11-27 10:54:16,157 INFO c.c.a.c.Controller [scheduling-1] Starting creation of Aidon hourly indexes until 2024-11-27T09:00:00+01:00.
2024-11-27 10:54:16,172 INFO c.c.a.d.GetSettlementMethodFromDB [scheduling-1] Could not find meteringPoint 707057500087673044 in the base of previously checked meters, will try to get details by API call to nanoMetering.
2024-11-27 10:54:18,430 INFO c.c.a.t.a.GetLastIndexForSensor [scheduling-1] Metering point = 707057500087672924, Sensor = ReactiveEnergy, direction = Downstream has no previous index.
2024-11-27 10:54:18,431 INFO c.c.a.t.a.GetLastIndexForSensor [scheduling-1] Metering point = 707057500087672924, Sensor = ReactiveEnergy, direction = Downstream has no previous timestamp.
2024-11-27 10:54:18,480 INFO c.c.a.t.a.GetLastIndexForSensor [scheduling-1] Metering point = 707057500087672924, Sensor = ReactiveEnergy, direction = Upstream has no previous index.
2024-11-27 10:54:18,481 INFO c.c.a.t.a.GetLastIndexForSensor [scheduling-1] Metering point = 707057500087672924, Sensor = ReactiveEnergy, direction = Upstream has no previous timestamp.
2024-11-27 10:54:18,534 INFO c.c.a.t.a.GetLastIndexForSensor [scheduling-1] Metering point = 707057500087672924, Sensor = ReactiveEnergy, direction = Upstream has no previous index.
2024-11-27 10:54:18,535 INFO c.c.a.t.a.GetLastIndexForSensor [scheduling-1] Metering point = 707057500087672924, Sensor = ReactiveEnergy, direction = Upstream has no previous timestamp.
2024-11-27 10:54:18,538 INFO c.c.a.d.GetSettlementMethodFromDB [scheduling-1] Could not find meteringPoint 707057500087672948 in the base of previously checked meters, will try to get details by API call to nanoMetering.
2024-11-27 10:54:18,729 INFO c.c.a.t.a.GetLastIndexForSensor [scheduling-1] Metering point = 707057500087672948, Sensor = ActiveEnergy, direction = Upstream has no previous index.
2024-11-27 10:54:18,730 INFO c.c.a.t.a.GetLastIndexForSensor [scheduling-1] Metering point = 707057500087672948, Sensor = ActiveEnergy, direction = Upstream has no previous timestamp.
2024-11-27 10:54:18,773 INFO c.c.a.t.a.GetLastIndexForSensor [scheduling-1] Metering point = 707057500087672948, Sensor = ActiveEnergy, direction = Upstream has no previous index.
2024-11-27 10:54:18,774 INFO c.c.a.t.a.GetLastIndexForSensor [scheduling-1] Metering point = 707057500087672948, Sensor = ActiveEnergy, direction = Upstream has no previous timestamp.
2024-11-27 10:54:18,822 INFO c.c.a.t.a.GetLastIndexForSensor [scheduling-1] Metering point = 707057500087672948, Sensor = ReactiveEnergy, direction = Downstream has no previous index.
2024-11-27 10:54:18,823 INFO c.c.a.t.a.GetLastIndexForSensor [scheduling-1] Metering point = 707057500087672948, Sensor = ReactiveEnergy, direction = Downstream has no previous timestamp.
2024-11-27 10:54:18,866 INFO c.c.a.t.a.GetLastIndexForSensor [scheduling-1] Metering point = 707057500087672948, Sensor = ReactiveEnergy, direction = Downstream has no previous index.
2024-11-27 10:54:18,867 INFO c.c.a.t.a.GetLastIndexForSensor [scheduling-1] Metering point = 707057500087672948, Sensor = ReactiveEnergy, direction = Downstream has no previous timestamp.
2024-11-27 10:54:18,913 INFO c.c.a.t.a.GetLastIndexForSensor [scheduling-1] Metering point = 707057500087672948, Sensor = ReactiveEnergy, direction = Upstream has no previous index.
2024-11-27 10:54:18,915 INFO c.c.a.t.a.GetLastIndexForSensor [scheduling-1] Metering point = 707057500087672948, Sensor = ReactiveEnergy, direction = Upstream has no previous timestamp.
2024-11-27 10:54:18,965 INFO c.c.a.t.a.GetLastIndexForSensor [scheduling-1] Metering point = 707057500087672948, Sensor = ReactiveEnergy, direction = Upstream has no previous index.
2024-11-27 10:54:18,965 INFO c.c.a.t.a.GetLastIndexForSensor [scheduling-1] Metering point = 707057500087672948, Sensor = ReactiveEnergy, direction = Upstream has no previous timestamp.
2024-11-27 10:54:18,966 INFO c.c.a.d.GetSettlementMethodFromDB [scheduling-1] Could not find meteringPoint 707057500087673020 in the base of previously checked meters, will try to get details by API call to nanoMetering.
2024-11-27 10:54:19,159 INFO c.c.a.t.a.GetLastIndexForSensor [scheduling-1] Metering point = 707057500087673020, Sensor = ActiveEnergy, direction = Upstream has no previous index.
2024-11-27 10:54:19,159 INFO c.c.a.t.a.GetLastIndexForSensor [scheduling-1] Metering point = 707057500087673020, Sensor = ActiveEnergy, direction = Upstream has no previous timestamp.
2024-11-27 10:54:19,201 INFO c.c.a.t.a.GetLastIndexForSensor [scheduling-1] Metering point = 707057500087673020, Sensor = ActiveEnergy, direction = Upstream has no previous index.
2024-11-27 10:54:19,201 INFO c.c.a.t.a.GetLastIndexForSensor [scheduling-1] Metering point = 707057500087673020, Sensor = ActiveEnergy, direction = Upstream has no previous timestamp.
2024-11-27 10:54:19,246 INFO c.c.a.t.a.GetLastIndexForSensor [scheduling-1] Metering point = 707057500087673020, Sensor = ReactiveEnergy, direction = Downstream has no previous index.
2024-11-27 10:54:19,247 INFO c.c.a.t.a.GetLastIndexForSensor [scheduling-1] Metering point = 707057500087673020, Sensor = ReactiveEnergy, direction = Downstream has no previous timestamp.
2024-11-27 10:54:19,295 INFO c.c.a.t.a.GetLastIndexForSensor [scheduling-1] Metering point = 707057500087673020, Sensor = ReactiveEnergy, direction = Downstream has no previous index.
2024-11-27 10:54:19,296 INFO c.c.a.t.a.GetLastIndexForSensor [scheduling-1] Metering point = 707057500087673020, Sensor = ReactiveEnergy, direction = Downstream has no previous timestamp.
2024-11-27 10:54:19,344 INFO c.c.a.t.a.GetLastIndexForSensor [scheduling-1] Metering point = 707057500087673020, Sensor = ReactiveEnergy, direction = Upstream has no previous index.
2024-11-27 10:54:19,344 INFO c.c.a.t.a.GetLastIndexForSensor [scheduling-1] Metering point = 707057500087673020, Sensor = ReactiveEnergy, direction = Upstream has no previous timestamp.
2024-11-27 10:54:19,389 INFO c.c.a.t.a.GetLastIndexForSensor [scheduling-1] Metering point = 707057500087673020, Sensor = ReactiveEnergy, direction = Upstream has no previous index.
2024-11-27 10:54:19,389 INFO c.c.a.t.a.GetLastIndexForSensor [scheduling-1] Metering point = 707057500087673020, Sensor = ReactiveEnergy, direction = Upstream has no previous timestamp.
2024-11-27 10:54:19,390 INFO c.c.a.d.GetSettlementMethodFromDB [scheduling-1] Could not find meteringPoint 707057500087672986 in the base of previously checked meters, will try to get details by API call to nanoMetering.
2024-11-27 10:54:19,584 INFO c.c.a.t.a.GetLastIndexForSensor [scheduling-1] Metering point = 707057500087672986, Sensor = ActiveEnergy, direction = Upstream has no previous index.
2024-11-27 10:54:19,584 INFO c.c.a.t.a.GetLastIndexForSensor [scheduling-1] Metering point = 707057500087672986, Sensor = ActiveEnergy, direction = Upstream has no previous timestamp.
2024-11-27 10:54:19,640 INFO c.c.a.t.a.GetLastIndexForSensor [scheduling-1] Metering point = 707057500087672986, Sensor = ActiveEnergy, direction = Upstream has no previous index.
2024-11-27 10:54:19,641 INFO c.c.a.t.a.GetLastIndexForSensor [scheduling-1] Metering point = 707057500087672986, Sensor = ActiveEnergy, direction = Upstream has no previous timestamp.
2024-11-27 10:54:19,687 INFO c.c.a.t.a.GetLastIndexForSensor [scheduling-1] Metering point = 707057500087672986, Sensor = ReactiveEnergy, direction = Downstream has no previous index.
2024-11-27 10:54:19,687 INFO c.c.a.t.a.GetLastIndexForSensor [scheduling-1] Metering point = 707057500087672986, Sensor = ReactiveEnergy, direction = Downstream has no previous timestamp.
2024-11-27 10:54:19,737 INFO c.c.a.t.a.GetLastIndexForSensor [scheduling-1] Metering point = 707057500087672986, Sensor = ReactiveEnergy, direction = Downstream has no previous index.
2024-11-27 10:54:19,738 INFO c.c.a.t.a.GetLastIndexForSensor [scheduling-1] Metering point = 707057500087672986, Sensor = ReactiveEnergy, direction = Downstream has no previous timestamp.
2024-11-27 10:54:19,782 INFO c.c.a.t.a.GetLastIndexForSensor [scheduling-1] Metering point = 707057500087672986, Sensor = ReactiveEnergy, direction = Upstream has no previous index.
2024-11-27 10:54:19,783 INFO c.c.a.t.a.GetLastIndexForSensor [scheduling-1] Metering point = 707057500087672986, Sensor = ReactiveEnergy, direction = Upstream has no previous timestamp.
2024-11-27 10:54:19,833 INFO c.c.a.t.a.GetLastIndexForSensor [scheduling-1] Metering point = 707057500087672986, Sensor = ReactiveEnergy, direction = Upstream has no previous index.
2024-11-27 10:54:19,835 INFO c.c.a.t.a.GetLastIndexForSensor [scheduling-1] Metering point = 707057500087672986, Sensor = ReactiveEnergy, direction = Upstream has no previous timestamp.
2024-11-27 10:54:19,837 INFO c.c.a.d.GetSettlementMethodFromDB [scheduling-1] Could not find meteringPoint 707057500087673082 in the base of previously checked meters, will try to get details by API call to nanoMetering.
2024-11-27 10:54:20,027 INFO c.c.a.t.a.GetLastIndexForSensor [scheduling-1] Metering point = 707057500087673082, Sensor = ActiveEnergy, direction = Upstream has no previous index.
2024-11-27 10:54:20,027 INFO c.c.a.t.a.GetLastIndexForSensor [scheduling-1] Metering point = 707057500087673082, Sensor = ActiveEnergy, direction = Upstream has no previous timestamp.
2024-11-27 10:54:20,070 INFO c.c.a.t.a.GetLastIndexForSensor [scheduling-1] Metering point = 707057500087673082, Sensor = ActiveEnergy, direction = Upstream has no previous index.
2024-11-27 10:54:20,071 INFO c.c.a.t.a.GetLastIndexForSensor [scheduling-1] Metering point = 707057500087673082, Sensor = ActiveEnergy, direction = Upstream has no previous timestamp.
2024-11-27 10:54:20,114 INFO c.c.a.t.a.GetLastIndexForSensor [scheduling-1] Metering point = 707057500087673082, Sensor = ReactiveEnergy, direction = Downstream has no previous index.
2024-11-27 10:54:20,114 INFO c.c.a.t.a.GetLastIndexForSensor [scheduling-1] Metering point = 707057500087673082, Sensor = ReactiveEnergy, direction = Downstream has no previous timestamp.
2024-11-27 10:54:20,160 INFO c.c.a.t.a.GetLastIndexForSensor [scheduling-1] Metering point = 707057500087673082, Sensor = ReactiveEnergy, direction = Downstream has no previous index.
2024-11-27 10:54:20,161 INFO c.c.a.t.a.GetLastIndexForSensor [scheduling-1] Metering point = 707057500087673082, Sensor = ReactiveEnergy, direction = Downstream has no previous timestamp.
2024-11-27 10:54:20,206 INFO c.c.a.t.a.GetLastIndexForSensor [scheduling-1] Metering point = 707057500087673082, Sensor = ReactiveEnergy, direction = Upstream has no previous index.
2024-11-27 10:54:20,207 INFO c.c.a.t.a.GetLastIndexForSensor [scheduling-1] Metering point = 707057500087673082, Sensor = ReactiveEnergy, direction = Upstream has no previous timestamp.
2024-11-27 10:54:20,262 INFO c.c.a.t.a.GetLastIndexForSensor [scheduling-1] Metering point = 707057500087673082, Sensor = ReactiveEnergy, direction = Upstream has no previous index.
2024-11-27 10:54:20,262 INFO c.c.a.t.a.GetLastIndexForSensor [scheduling-1] Metering point = 707057500087673082, Sensor = ReactiveEnergy, direction = Upstream has no previous timestamp.
2024-11-27 10:54:20,264 INFO c.c.a.d.GetSettlementMethodFromDB [scheduling-1] Could not find meteringPoint 707057500087672962 in the base of previously checked meters, will try to get details by API call to nanoMetering.
